"","name","zipcode","id","lat","lng","membership200","membership300","membership500"
"778","Barrett Parkway",30144,778,34.03672,-84.59174,1,1,1
"779","Bass Road",31210,779,32.90486,-83.7356,1,1,1
"780","Beechwood",30606,780,33.93873,-83.43305,1,1,1
"781","Berry College",30149,781,34.31107,-85.21691,1,1,1
"782","Blairsville",30512,782,34.85667,-83.97204,1,1,1
"783","Bradley Park Drive",31904,783,32.55189,-85.00009,1,1,1
"784","Braselton",30517,784,34.13047,-83.7975,1,1,1
"785","Braves Avenue",30043,785,34.00353,-84.00703,1,1,1
"786","Bremen",30110,786,33.74071,-85.137,1,1,1
"787","Brookhaven",30319,787,33.87875,-84.33596,1,1,1
"788","Brookstone",30101,788,34.04355,-84.71244,1,1,1
"789","Brunswick (GA)",31520,789,31.17745,-81.48729,11,10,1
"790","Buford",30518,790,34.132,-84.02578,1,1,1
"791","Byron [GA]",31008,791,32.65479,-83.78287,1,1,1
"792","Calhoun",30701,792,34.49535,-84.95385,1,1,1
"793","Camp Creek Parkway",30344,793,33.67508,-84.46029,1,1,1
"794","Canton Marketplace",30115,794,34.21296,-84.40138,1,1,1
"795","Carrollton",30117,795,33.58113,-85.13197,1,1,1
"796","Cascade Road",30331,796,33.70627,-84.54439,1,1,1
"797","Cedartown [GA]",30125,797,34.00067,-85.27331,1,1,1
"798","Centerville Hwy",30039,798,33.79871,-84.03414,1,1,1
"799","Chamblee Plaza",30341,799,33.88711,-84.28992,1,1,1
"800","Chastain Road In-Line DT",30144,800,34.03672,-84.59174,1,1,1
"801","Chastain Square",30342,801,33.88227,-84.37429,1,1,1
"802","Cherokee Place",30121,802,34.21073,-84.77802,1,1,1
"803","Children's Hospital of Georgia",30912,803,33.47021,-81.98789,12,1,1
"804","Clayton",30525,804,34.91289,-83.35853,1,1,1
"805","Cleveland (GA)",30528,805,34.6083,-83.77589,1,1,1
"806","Cleveland Avenue",30344,806,33.67508,-84.46029,1,1,1
"807","CNN Center",30303,807,33.75284,-84.39028,1,1,1
"808","College Football Hall of Fame",30313,808,33.76369,-84.39761,1,1,1
"809","Colony Square",30360,809,33.93198,-84.27302,1,1,1
"810","Columbus Park Crossing",31909,810,32.54517,-84.92385,1,1,1
"811","Columbus State University",31907,811,32.48388,-84.89976,1,1,1
"812","Commerce",30529,812,34.2155,-83.482,1,1,1
"813","Conyers",30013,813,33.643,-83.97147,1,1,1
"814","Cordele",31015,814,31.93729,-83.77444,1,1,1
"815","Cornelia",30531,815,34.51017,-83.59103,1,1,1
"816","Covington (GA)",30014,816,33.58109,-83.8191,1,1,1
"817","Covington Town Center",30014,817,33.58109,-83.8191,1,1,1
"818","Coweta Crossroads",30265,818,33.41649,-84.70749,1,1,1
"819","Cumberland Mall",30339,819,33.86786,-84.46483,1,1,1
"820","Dacula",30019,820,33.97642,-83.88252,1,1,1
"821","Dahlonega",30533,821,34.57344,-84.01576,1,1,1
"822","Dallas (GA)",30157,822,33.88641,-84.8731,1,1,1
"823","Dalton",30720,823,34.73472,-85.00289,1,1,1
"824","Dalton Mall",30721,824,34.79168,-84.91187,1,1,1
"825","Dawsonville",30534,825,34.43085,-84.1439,1,1,1
"826","Delta Air Lines Headquarters",30354,826,33.66058,-84.38609,1,1,1
"827","Doraville Plaza",30340,827,33.89808,-84.25113,1,1,1
"828","Douglas [GA]",31533,828,31.55021,-82.8287,11,1,1
"829","Douglasville",30135,829,33.67285,-84.74523,1,1,1
"830","Downtown Athens In-Line",30601,830,34.00032,-83.34851,1,1,1
"831","Downtown Decatur",30030,831,33.7721,-84.29135,1,1,1
"832","Dublin",31021,832,32.49002,-82.93435,1,1,1
"833","Dwarf House Chick-fil-A Classics Mt. Berry Square",30165,833,34.30279,-85.27233,1,1,1
"834","Dwarf House Shipping Container Drive-Thru",30161,834,34.23758,-85.17319,1,1,1
"835","Eagles Corner",30458,835,32.39732,-81.82694,12,1,1
"836","Eagles Landing",30281,836,33.56338,-84.1961,1,1,1
"837","East Lake",30062,837,33.99977,-84.46899,1,1,1
"838","Eisenhower Parkway",31206,838,32.79383,-83.6832,1,1,1
"839","Ellijay",30540,839,34.72313,-84.54421,1,1,1
"840","Epps Bridge",30606,840,33.93873,-83.43305,1,1,1
"841","Fairburn",30213,841,33.59113,-84.6333,1,1,1
"842","Fairburn Road Drive-Thru Only",30134,842,33.77436,-84.78241,1,1,1
"843","Fayetteville Dwarf House",30214,843,33.49222,-84.48697,1,1,1
"844","Fayetteville Towne Center",30214,844,33.49222,-84.48697,1,1,1
"845","Forest Park Dwarf House",30297,845,33.61511,-84.37145,1,1,1
"846","Forsyth [GA]",31029,846,33.03894,-83.92977,1,1,1
"847","Fort Oglethorpe",30742,847,34.93566,-85.24482,1,1,1
"848","Fort Valley State University",31030,848,32.56861,-83.89103,1,1,1
"849","Gainesville West",30501,849,34.31844,-83.81636,1,1,1
"850","Georgia College and State University",31061,850,33.06041,-83.22816,1,1,1
"851","Georgia Gwinnett College",30043,851,34.00353,-84.00703,1,1,1
"852","Georgia Southern University",30460,852,32.42718,-81.78272,12,1,1
"853","Georgia Southern University - Armstrong Campus",31419,853,31.98479,-81.23867,12,11,1
"854","Georgia Southwestern State University",31709,854,32.05071,-84.14011,1,1,1
"855","Georgia State University",30303,855,33.75284,-84.39028,1,1,1
"856","Georgia State University - Petit Science Center",30303,856,33.75284,-84.39028,1,1,1
"857","Georgia Tech",30332,857,33.77757,-84.40429,1,1,1
"858","Glenwood Place",30316,858,33.71277,-84.33218,1,1,1
"859","Godley Station",31322,859,32.10265,-81.25626,12,11,1
"860","Grady Memorial Hospital",30303,860,33.75284,-84.39028,1,1,1
"861","Griffin",30223,861,33.28635,-84.28012,1,1,1
"862","Grovetown",30813,862,33.47037,-82.2193,1,1,1
"863","Gulfstream Aerospace",31408,863,32.11164,-81.18158,12,11,1
"864","Gulfstream Aerospace - Northwest Cafe'",31408,864,32.11164,-81.18158,12,11,1
"865","Halcyon",30005,865,34.08582,-84.22158,1,1,1
"866","Hamilton Mill",30519,866,34.08792,-83.9423,1,1,1
"867","Hartsfield-Jackson Atlanta Int'l Airport - Conc A",30319,867,33.87875,-84.33596,1,1,1
"868","Hartsfield-Jackson Atlanta Int'l Airport - Conc C",30319,868,33.87875,-84.33596,1,1,1
"869","Hickory Flat",30115,869,34.21296,-84.40138,1,1,1
"870","Hills and Dales",30240,870,33.03757,-85.12222,1,1,1
"871","Hinesville",31313,871,31.83534,-81.6183,12,10,1
"872","Hiram",30141,872,33.86244,-84.77521,1,1,1
"873","Howell Mill",30318,873,33.79235,-84.44831,1,1,1
"874","Hwy 96 and Houston Lake",31005,874,32.54533,-83.59497,1,1,1
"875","Jefferson (GA)",30549,875,34.10731,-83.57684,1,1,1
"876","Jesse Jewell Parkway",30501,876,34.31844,-83.81636,1,1,1
"877","Jett Ferry Road",30338,877,33.9437,-84.31801,1,1,1
"878","Jimmy Carter Blvd.",30093,878,33.90879,-84.17839,1,1,1
"879","Jodeco Road",30253,879,33.45028,-84.18579,1,1,1
"880","Johns Creek",30024,880,34.06341,-84.09116,1,1,1
"881","Jonesboro Dwarf House",30236,881,33.52157,-84.32405,1,1,1
"882","Kedron Village",30269,882,33.39375,-84.56974,1,1,1
"883","Kennesaw State University",30144,883,34.03672,-84.59174,1,1,1
"884","Kennesaw State University - Marietta",30060,884,33.9209,-84.543,1,1,1
"885","Kingsland",31548,885,30.7953,-81.71043,11,10,1
"886","Kroger/W. Marietta Crossing",30064,886,33.93809,-84.61691,1,1,1
"887","LaFayette Parkway",30241,887,33.02115,-84.95285,1,1,1
"888","Lake Dow",30252,888,33.47206,-84.06416,1,1,1
"889","Lake Oconee [GA]",30642,889,33.5446,-83.1832,1,1,1
"890","Lake Park",31636,890,30.7337,-83.1096,11,10,1
"891","LakePoint",30121,891,34.21073,-84.77802,1,1,1
"892","Lassiter",30062,892,33.99977,-84.46899,1,1,1
"893","Lavonia [GA]",30553,893,34.44473,-83.08771,1,1,1
"894","Lee Crossings",31763,894,31.73889,-84.14711,1,1,1
"895","Lenox Square",30326,895,33.84957,-84.36342,1,1,1
"896","Lilburn",30047,896,33.87104,-84.11304,1,1,1
"897","Line Creek",30269,897,33.39375,-84.56974,1,1,1
"898","Locust Grove",30248,898,33.34975,-84.10838,1,1,1
"899","Loganville",30052,899,33.81654,-83.89538,1,1,1
"900","Lovejoy Station",30228,900,33.40374,-84.30575,1,1,1
"901","Lulah Hills",30033,901,33.81342,-84.28355,1,1,1
"902","Macland Crossing",30008,902,33.8966,-84.58847,1,1,1
"903","Macon Road",31906,903,32.46815,-84.94963,1,1,1
"904","Madison (GA)",30650,904,33.5907,-83.46693,1,1,1
"905","Mall of Georgia",30519,905,34.08792,-83.9423,1,1,1
"906","Mall of Georgia on Buford Drive",30519,906,34.08792,-83.9423,1,1,1
"907","Manchester Expressway",31904,907,32.55189,-85.00009,1,1,1
"908","McDonough",30253,908,33.45028,-84.18579,1,1,1
"909","McDonough Drive-Thru Only",30253,909,33.45028,-84.18579,1,1,1
"910","Memorial Drive",30083,910,33.79641,-84.19231,1,1,1
"911","Mercedes-Benz Stadium",30313,911,33.76369,-84.39761,1,1,1
"912","Mercer University",31207,912,32.82859,-83.64928,1,1,1
"913","Midland",31820,913,32.57576,-84.82947,1,1,1
"914","Midtown Savannah",31405,914,32.0392,-81.17352,12,11,1
"915","Milledgeville",31061,915,33.06041,-83.22816,1,1,1
"916","Monroe (GA)",30655,916,33.78214,-83.69072,1,1,1
"917","Moore Road",30024,917,34.06341,-84.09116,1,1,1
"918","Moultrie",31768,918,31.19329,-83.84047,1,1,1
"919","Mullins Crossing",30809,919,33.55522,-82.16357,12,1,1
"920","North Dalton",30721,920,34.79168,-84.91187,1,1,1
"921","North Decatur",30033,921,33.81342,-84.28355,1,1,1
"922","North Druid Hills",30329,922,33.82625,-84.32282,1,1,1
"923","North Point Mall",30022,923,34.02745,-84.24643,1,1,1
"924","North Point Parkway",30022,924,34.02745,-84.24643,1,1,1
"925","North Valdosta",31602,925,30.86734,-83.34269,11,10,1
"926","Northeast Georgia Medical Center",30501,926,34.31844,-83.81636,1,1,1
"927","Northlake Festival",30084,927,33.85457,-84.21657,1,1,1
"928","Northridge Drive-Thru Only",30350,928,33.97881,-84.33366,1,1,1
"929","Oakwood",30542,929,34.17846,-83.90915,1,1,1
"930","Outlet Shoppes at Atlanta",30188,930,34.11873,-84.45526,1,1,1
"931","Peach Orchard Road",30906,931,33.34842,-81.97239,12,1,1
"932","Peachtree & Piedmont",30305,932,33.83518,-84.38931,1,1,1
"933","Peachtree at Collier",30309,933,33.798,-84.38774,1,1,1
"934","Peachtree Center",30303,934,33.75284,-84.39028,1,1,1
"935","Peachtree City Midtown",30269,935,33.39375,-84.56974,1,1,1
"936","Peachtree Corners",30092,936,33.97145,-84.23537,1,1,1
"937","Peachtree Ind. & Pleasant Hill",30096,937,33.97691,-84.14791,1,1,1
"938","Perimeter at Hammond Drive",30346,938,33.92425,-84.33881,1,1,1
"939","Perimeter Mall",30346,939,33.92425,-84.33881,1,1,1
"940","Perimeter Pointe",30338,940,33.9437,-84.31801,1,1,1
"941","Piedmont Augusta",30901,941,33.43811,-81.95327,12,1,1
"942","Piedmont Road",30324,942,33.8196,-84.3572,1,1,1
"943","Pike Street",30046,943,33.9497,-83.99389,1,1,1
"944","Ponce & Boulevard",30308,944,33.77094,-84.37773,1,1,1
"945","Ponce de Leon",30306,945,33.78867,-84.35136,1,1,1
"946","Pooler",31322,946,32.10265,-81.25626,12,11,1
"947","Poplar Road",30265,947,33.41649,-84.70749,1,1,1
"948","RELO Bradley Park Drive",31904,948,32.55189,-85.00009,1,1,1
"949","RELO Fairburn Hwy 74",30213,949,33.59113,-84.6333,1,1,1
"950","RELO Lanier Crossing",30040,950,34.21622,-84.17978,1,1,1
"951","RELO Larry Mulkey Memorial Rd",30040,951,34.21622,-84.17978,1,1,1
"952","RELO Wesley Chapel Road",30035,952,33.72563,-84.20541,1,1,1
"953","Rincon",31326,953,32.29653,-81.22824,12,11,1
"954","Riverdale Dwarf House",30274,954,33.55583,-84.40091,1,1,1
"955","Rivermont Station",30022,955,34.02745,-84.24643,1,1,1
"956","Riverstone Parkway",30114,956,34.24433,-84.5393,1,1,1
"957","Rockmart",30153,957,33.96678,-85.05425,1,1,1
"958","Roswell Corners",30075,958,34.05282,-84.38739,1,1,1
"959","Roswell Road at Cobb Parkway",30062,959,33.99977,-84.46899,1,1,1
"960","Roswell Town Center",30076,960,34.02777,-84.31723,1,1,1
"961","Russell Parkway",31088,961,32.58587,-83.65528,1,1,1
"962","Saint Simons",31522,962,31.23595,-81.35528,11,10,1
"963","Salem Bridge [GA]",30016,963,33.51836,-83.93073,1,1,1
"964","Sam Nunn Blvd",31069,964,32.4406,-83.74373,1,1,1
"965","Sandy Springs",30328,965,33.93194,-84.38617,1,1,1
"966","Sanford Stadium",30602,966,33.94252,-83.37256,1,1,1
"967","Savannah Quarters",31322,967,32.10265,-81.25626,12,11,1
"968","Savannah State University",31404,968,32.05064,-81.05367,12,11,1
"969","Scenic Highway",30078,969,33.86118,-84.01795,1,1,1
"970","Senoia",30276,970,33.26552,-84.582,1,1,1
"971","Smyrna (GA)",30080,971,33.87864,-84.5053,1,1,1
"972","Snellville at Hwy 78",30078,972,33.86118,-84.01795,1,1,1
"973","South Cobb Drive",30080,973,33.87864,-84.5053,1,1,1
"974","South Dacula",30019,974,33.97642,-83.88252,1,1,1
"975","South Dublin",31021,975,32.49002,-82.93435,1,1,1
"976","South Fulton Parkway at 92",30213,976,33.59113,-84.6333,1,1,1
"977","Sprayberry",30066,977,34.034,-84.50798,1,1,1
"978","St. Augustine Road",31601,978,30.74772,-83.33968,11,10,1
"979","Starr's Mill",30269,979,33.39375,-84.56974,1,1,1
"980","State Farm Arena",30303,980,33.75284,-84.39028,1,1,1
"981","Statesboro",30458,981,32.39732,-81.82694,12,1,1
"982","Stone Mountain",30087,982,33.81087,-84.13135,1,1,1
"983","Stonebridge Village",30542,983,34.17846,-83.90915,1,1,1
"984","Sugarloaf & 316",30044,984,33.92207,-84.06924,1,1,1
"985","Sugarloaf and Satellite",30097,985,34.0271,-84.14702,1,1,1
"986","Suwanee Road",30024,986,34.06341,-84.09116,1,1,1
"987","Terminus In-Line",30305,987,33.83518,-84.38931,1,1,1
"988","Terrell Mill",30067,988,33.93286,-84.46187,1,1,1
"989","The Collection Forsyth",30041,989,34.20166,-84.09371,1,1,1
"990","The Dwarf House",30354,990,33.66058,-84.38609,1,1,1
"991","The Mall at Stonecrest",30038,991,33.67078,-84.14209,1,1,1
"992","Thomaston",30286,992,32.88078,-84.33334,1,1,1
"993","Thomasville",31757,993,30.87291,-83.89945,1,1,1
"994","Thomson",30824,994,33.51586,-82.51467,1,1,1
"995","Thornton Road",30122,995,33.76329,-84.6386,1,1,1
"996","Tifton",31793,996,31.46104,-83.58386,1,1,1
"997","Toccoa [GA]",30577,997,34.55549,-83.32632,1,1,1
"998","Tom Hill Sr Blvd",31210,998,32.90486,-83.7356,1,1,1
"999","Town Center At Cobb",30144,999,34.03672,-84.59174,1,1,1
"1000","Towne Lake",30189,1000,34.12835,-84.57148,1,1,1
"1001","Truett's Chick-fil-A - Grayson",30052,1001,33.81654,-83.89538,1,1,1
"1002","Truett's Chick-fil-A - Newnan",30265,1002,33.41649,-84.70749,1,1,1
"1003","Truett's Chick-fil-A - Rome",30165,1003,34.30279,-85.27233,1,1,1
"1004","Truett's Chick-fil-A - Stockbridge",30281,1004,33.56338,-84.1961,1,1,1
"1005","Truett's Chick-fil-A - Woodstock",30188,1005,34.11873,-84.45526,1,1,1
"1006","Truett's Chick-fil-A Catering & Delivery - VA Ave",30354,1006,33.66058,-84.38609,1,1,1
"1007","Truett's Grill - Griffin",30223,1007,33.28635,-84.28012,1,1,1
"1008","Truett's Grill - McDonough",30253,1008,33.45028,-84.18579,1,1,1
"1009","Truett's Grill - Morrow",30260,1009,33.5862,-84.33046,1,1,1
"1010","Truett's Luau",30214,1010,33.49222,-84.48697,1,1,1
"1011","Truist Park",30339,1011,33.86786,-84.46483,1,1,1
"1012","Tucker Hugh Howell Road",30084,1012,33.85457,-84.21657,1,1,1
"1013","Turner Hill Road",30038,1013,33.67078,-84.14209,1,1,1
"1014","Union Grove Crossroads",30252,1014,33.47206,-84.06416,1,1,1
"1015","University of Georgia",30602,1015,33.94252,-83.37256,1,1,1
"1016","University of West Georgia",30118,1016,33.57288,-85.09938,1,1,1
"1017","Valdosta State University - Student Union",31698,1017,30.84749,-83.29051,11,10,1
"1018","Victory at Skidaway",31404,1018,32.05064,-81.05367,12,11,1
"1019","Vidalia",30474,1019,32.22393,-82.41381,12,1,1
"1020","Villa Rica",30180,1020,33.72018,-84.91956,1,1,1
"1021","Vine City",30314,1021,33.75787,-84.43193,1,1,1
"1022","Vinings",30339,1022,33.86786,-84.46483,1,1,1
"1023","Washington Road",30907,1023,33.52193,-82.08596,12,1,1
"1024","Watson Blvd",31093,1024,32.64815,-83.65688,1,1,1
"1025","Waycross",31501,1025,31.22693,-82.34852,11,10,1
"1026","Wesley Chapel Road",30035,1026,33.72563,-84.20541,1,1,1
"1027","West Cobb",30064,1027,33.93809,-84.61691,1,1,1
"1028","West Midtown",30318,1028,33.79235,-84.44831,1,1,1
"1029","West Paces Ferry",30327,1029,33.86708,-84.42358,1,1,1
"1030","Winder",30620,1030,33.92917,-83.75958,1,1,1
"1031","Windward Parkway",30004,1031,34.14352,-84.29926,1,1,1
"1032","Windy Hill Road",30067,1032,33.93286,-84.46187,1,1,1
"1033","Woodlawn Square",30068,1033,33.96887,-84.43273,1,1,1
"1034","Young Harris College",30582,1034,34.9494,-83.89869,1,1,1
"1035","Zebulon Road",31210,1035,32.90486,-83.7356,1,1,1
"1036","Ala Moana Mall",96814,1036,21.29405,-157.84637,13,12,6
"1037","H1 West & Kamokila Blvd.",96707,1037,21.36455,-158.08141,13,12,6
"1038","Kahului",96732,1038,20.87593,-156.46092,13,12,6
"1039","Kapolei Parkway",96707,1039,21.36455,-158.08141,13,12,6
"1040","Makiki",96814,1040,21.29405,-157.84637,13,12,6
"1041","Ames",50010,1041,42.03316,-93.58761,4,13,7
"1042","Ankeny",50021,1042,41.7207,-93.56838,4,13,7
"1043","Blairs Ferry Rd (IA)",52402,1043,42.02272,-91.66001,4,14,7
"1044","Burlington (IA)",52601,1044,40.8551,-91.111,14,14,7
"1045","Coral Ridge Mall",52241,1045,41.69708,-91.59746,4,14,7
"1046","Davenport",52807,1046,41.61061,-90.51634,14,14,7
"1047","Dubuque",52003,1047,42.43434,-90.67506,14,14,7
"1048","Fort Dodge (IA)",50501,1048,42.49244,-94.18967,4,13,7
"1049","Jordan Creek Town Center",50266,1049,41.56323,-93.81107,4,13,7
"1050","Lindale",52402,1050,42.02272,-91.66001,4,14,7
"1051","Mason City (IA)",50401,1051,43.15389,-93.20006,4,13,7
"1052","Merle Hay",50310,1052,41.62777,-93.67297,4,13,7
"1053","Mills Civic Parkway",50266,1053,41.56323,-93.81107,4,13,7
"1054","Northpark Mall (IA)",52806,1054,41.58918,-90.62553,14,14,7
"1055","Pella (IA)",50219,1055,41.42243,-92.90132,4,13,7
"1056","Sergeant Road",51106,1056,42.46292,-96.32,4,13,7
"1057","University Ave (IA)",50266,1057,41.56323,-93.81107,4,13,7
"1058","Waterloo",50702,1058,42.45745,-92.31283,4,13,7
"1059","Westdale",52404,1059,41.92153,-91.69077,4,14,7
"1060","Ammon",83406,1060,43.43768,-111.93382,15,8,2
"1061","Boise State University",83725,1061,43.60484,-116.20569,15,8,2
"1062","Brigham Young University - Idaho",83460,1062,43.81639,-111.7826,15,8,2
"1063","Broadway & Front",83702,1063,43.66821,-116.16493,15,8,2
"1064","Franklin Road",83709,1064,43.55212,-116.28847,15,8,2
"1065","Idaho State University",83209,1065,42.85782,-112.42619,15,8,2
"1066","Ten Mile & Vanguard",83642,1066,43.57334,-116.40116,15,8,2
"1067","Treasure Valley Nampa",83687,1067,43.60998,-116.52997,15,8,2
"1068","Twin Falls",83301,1068,42.39472,-114.52203,15,8,2
"1069","University of Idaho",83844,1069,46.72823,-117.01946,16,6,2
"1070","Village at Meridian",83646,1070,43.65,-116.43247,15,8,2
"1071","Addison & Elston (IL)",60618,1071,41.94694,-87.70263,14,14,7
"1072","Algonquin (IL)",60102,1072,42.16406,-88.30928,14,14,7
"1073","Batavia",60510,1073,41.84283,-88.31189,14,14,7
"1074","Bloomingdale",60108,1074,41.94905,-88.09232,14,14,7
"1075","Bolingbrook",60490,1075,41.67575,-88.14118,14,14,7
"1076","Bradley Bourbonnais (IL)",60914,1076,41.18706,-87.86194,14,14,7
"1077","Bradley University",61625,1077,40.6978,-89.61455,14,14,7
"1078","Broadview (IL)",60155,1078,41.8578,-87.85631,14,14,7
"1079","Bucktown (IL)",60614,1079,41.92267,-87.6506,14,14,7
"1080","Buffalo Grove (IL)",60089,1080,42.16736,-87.96076,14,14,7
"1081","Champaign (IL)",61822,1081,40.13693,-88.30453,14,14,7
"1082","Chicago O'Hare International Airport - Terminal 5",60661,1082,41.88291,-87.64409,14,14,7
"1083","Chicago Ridge",60415,1083,41.70341,-87.77953,14,14,7
"1084","Chicago Union Station",60606,1084,41.88178,-87.63724,14,14,7
"1085","Countryside",60525,1085,41.78371,-87.86778,14,14,7
"1086","Crestwood (IL)",60418,1086,41.64568,-87.74084,14,14,7
"1087","Crystal Lake",60014,1087,42.23126,-88.32679,14,14,7
"1088","Deerfield (IL)",60015,1088,42.17239,-87.87486,14,14,7
"1089","East Peoria",61611,1089,40.71185,-89.53469,14,14,7
"1090","Eastern Illinois University",61920,1090,39.50415,-88.16448,14,14,7
"1091","Edwardsville (IL)",62025,1091,38.83004,-89.93298,4,14,7
"1092","Elgin (IL)",60123,1092,42.04011,-88.31166,14,14,7
"1093","Elmhurst",60126,1093,41.89627,-87.94194,14,14,7
"1094","Fairview Heights",62208,1094,38.59641,-90.00528,4,14,7
"1095","Ford City (IL)",60652,1095,41.74744,-87.71445,14,14,7
"1096","Fox Valley Center",60504,1096,41.74649,-88.23957,14,14,7
"1097","Frankfort (IL)",60423,1097,41.47922,-87.83961,14,14,7
"1098","Golf Mill (IL)",60714,1098,42.02834,-87.81131,14,14,7
"1099","Green Mount Commons",62221,1099,38.51187,-89.89922,4,14,7
"1100","Gurnee",60031,1100,42.37494,-87.94119,14,14,7
"1101","Homewood (IL)",60430,1101,41.5584,-87.66214,14,14,7
"1102","Illinois Medical District (IL) In-Line",60612,1102,41.8805,-87.68783,14,14,7
"1103","Joliet (IL)",60435,1103,41.54492,-88.1288,14,14,7
"1104","Kildeer",60047,1104,42.20202,-88.04522,14,14,7
"1105","Lansing (IL)",60438,1105,41.56625,-87.55065,14,14,7
"1106","Lombard",60148,1106,41.87505,-88.01859,14,14,7
"1107","Loyola Water Tower In-Line",60611,1107,41.89483,-87.61944,14,14,7
"1108","Machesney Park (IL)",61115,1108,42.36365,-89.02869,14,14,7
"1109","Marion (IL)",62959,1109,37.71442,-88.91463,4,14,7
"1110","Matteson (IL)",60443,1110,41.50369,-87.74637,14,14,7
"1111","Mattoon (IL)",61938,1111,39.48004,-88.37571,14,14,7
"1112","Melrose Park",60160,1112,41.90348,-87.86176,14,14,7
"1113","Michigan Avenue (IL) In-Line",60611,1113,41.89483,-87.61944,14,14,7
"1114","Millennium Park (IL) In-Line",60603,1114,41.88018,-87.6274,14,14,7
"1115","Moline",61265,1115,41.48195,-90.48895,14,14,7
"1116","Mount Prospect",60056,1116,42.06618,-87.93473,14,14,7
"1117","Niles (IL)",60714,1117,42.02834,-87.81131,14,14,7
"1118","Norridge (IL)",60706,1118,41.96384,-87.81672,14,14,7
"1119","North Riverside",60546,1119,41.83834,-87.82132,14,14,7
"1120","Ogden & Iroquois (IL)",60563,1120,41.79933,-88.16884,14,14,7
"1121","Old Orchard",60077,1121,42.03617,-87.75633,14,14,7
"1122","Orland Park",60462,1122,41.62527,-87.83548,14,14,7
"1123","Oswego",60543,1123,41.66537,-88.32442,14,14,7
"1124","Peoria",61615,1124,40.78088,-89.63102,14,14,7
"1125","Pullman (IL)",60628,1125,41.69165,-87.61828,14,14,7
"1126","Rockford",61107,1126,42.28344,-89.00348,14,14,7
"1127","Schaumburg",60173,1127,42.05287,-88.0526,14,14,7
"1128","South Loop (IL)",60607,1128,41.87467,-87.65175,14,14,7
"1129","Southern Illinois University - Carbondale",62901,1129,37.74003,-89.20946,4,14,7
"1130","Southern Illinois University-Edwardsville",62026,1130,38.79062,-90.00394,4,14,7
"1131","St. Charles (IL)",60174,1131,41.92759,-88.29906,14,14,7
"1132","State and Lake In-Line",60601,1132,41.88527,-87.62197,14,14,7
"1133","Touhy Marketplace (IL)",60076,1133,42.03412,-87.72943,14,14,7
"1134","University of Illinois - Chicago",60607,1134,41.87467,-87.65175,14,14,7
"1135","Vernon Hills",60061,1135,42.2334,-87.96046,14,14,7
"1136","Veterans & College",61761,1136,40.52503,-88.95152,14,14,7
"1137","West Schaumburg",60194,1137,42.03339,-88.11125,14,14,7
"1138","Western Illinois University",61455,1138,40.44047,-90.65115,4,14,7
"1139","Wheaton",60189,1139,41.83957,-88.12128,14,14,7
"1140","White Oaks",62704,1140,39.77358,-89.68503,4,14,7
"1141","Willowbrook",60527,1141,41.74472,-87.93383,14,14,7
"1142","Wrigleyville (IL)",60657,1142,41.93965,-87.65495,14,14,7
"1143","38 and Creasy",47905,1143,40.4218,-86.76418,14,14,7
"1144","Anderson (IN)",46013,1144,40.05021,-85.67829,14,14,7
"1145","Anderson University",46012,1145,40.1492,-85.62552,14,14,7
"1146","Anson (IN)",46075,1146,40.02637,-86.3346,14,14,7
"1147","Avon",46123,1147,39.76502,-86.40015,14,14,7
"1148","Ball State University",47306,1148,40.20542,-85.40726,14,14,7
"1149","Beechwood Centre (IN)",46123,1149,39.76502,-86.40015,14,14,7
"1150","Bloomington East",47401,1150,39.08613,-86.45138,14,14,7
"1151","Broad Ripple",46220,1151,39.8676,-86.10818,14,14,7
"1152","Castleton Square",46250,1152,39.90399,-86.06864,14,14,7
"1153","Circle Centre Mall",46204,1153,39.77134,-86.15703,14,14,7
"1154","Coliseum Boulevard",46805,1154,41.09918,-85.11762,14,14,7
"1155","College Mall",47401,1155,39.08613,-86.45138,14,14,7
"1156","Columbus National",47201,1156,39.15074,-85.99432,14,14,7
"1157","Cross Pointe",47715,1157,37.97229,-87.48097,14,14,7
"1158","Crown Point (IN)",46307,1158,41.40215,-87.32693,14,14,7
"1159","Downtown Indy (IN) In-Line",46204,1159,39.77134,-86.15703,14,14,7
"1160","Dupont Road (IN)",46825,1160,41.15397,-85.12425,14,14,7
"1161","East Washington St. - Indianapolis",46229,1161,39.78852,-85.978,14,14,7
"1162","Eastland Mall (IN)",47715,1162,37.97229,-87.48097,14,14,7
"1163","Elkhart (IN)",46514,1163,41.72328,-85.97547,14,14,7
"1164","Gainbridge Fieldhouse",46204,1164,39.77134,-86.15703,14,14,7
"1165","Glenbrook Square",46805,1165,41.09918,-85.11762,14,14,7
"1166","Greenfield (IN)",46140,1166,39.80358,-85.77049,14,14,7
"1167","Greenwood",46142,1167,39.62029,-86.1764,14,14,7
"1168","Greenwood Park Mall (IN)",46142,1168,39.62029,-86.1764,14,14,7
"1169","Indiana University Indianapolis",46202,1169,39.78363,-86.16187,14,14,7
"1170","Indiana Wesleyan University",46953,1170,40.51928,-85.643,14,14,7
"1171","Indianapolis International Airport",46241,1171,39.72389,-86.26842,14,14,7
"1172","Jefferson Pointe",46804,1172,41.05421,-85.23913,14,14,7
"1173","Jeffersonville",47130,1173,38.33528,-85.69689,14,14,7
"1174","Marian University",46222,1174,39.79088,-86.21477,14,14,7
